Index,Date,Open,High,Low,Close,Adj Close,Volume
NASDAQ Composite,4/20/2018,7220.640137,7222.990234,7123.490234,7146.129883,7146.129883,1935160000
NASDAQ Composite,4/23/2018,7173.990234,7195.720215,7094.430176,7128.600098,7128.600098,1744480000
NASDAQ Composite,4/24/2018,7160.77002,7171.669922,6961.52002,7007.350098,7007.350098,2154270000
NASDAQ Composite,4/25/2018,7009.990234,7030.740234,6926.970215,7003.740234,7003.740234,2055840000
NASDAQ Composite,4/26/2018,7080.490234,7143.939941,7055.660156,7118.680176,7118.680176,2141220000
NASDAQ Composite,4/27/2018,7195.52002,7197.149902,7083.950195,7119.799805,7119.799805,2050350000
NASDAQ Composite,4/30/2018,7133.950195,7169.799805,7065.410156,7066.27002,7066.27002,1998570000
NASDAQ Composite,5/1/2018,7053.649902,7133.27002,7036.180176,7130.700195,7130.700195,1932660000
NASDAQ Composite,5/2/2018,7138.450195,7169.459961,7094.720215,7100.899902,7100.899902,2157860000
NASDAQ Composite,5/3/2018,7065.029785,7112.589844,6991.140137,7088.149902,7088.149902,2355780000
NASDAQ Composite,5/4/2018,7065.669922,7228.259766,7057.890137,7209.620117,7209.620117,2040520000
NASDAQ Composite,5/7/2018,7241.819824,7291.740234,7235.759766,7265.209961,7265.209961,1950650000
NASDAQ Composite,5/8/2018,7255.339844,7278.810059,7224.700195,7266.899902,7266.899902,2070970000
NASDAQ Composite,5/9/2018,7281.529785,7344.799805,7259.049805,7339.910156,7339.910156,2250260000
NASDAQ Composite,5/10/2018,7355.899902,7414.149902,7353.629883,7404.970215,7404.970215,2250450000
NASDAQ Composite,5/11/2018,7393.970215,7417.669922,7372.259766,7402.879883,7402.879883,2085350000
NASDAQ Composite,5/14/2018,7429.450195,7458.419922,7401.890137,7411.319824,7411.319824,2085850000
NASDAQ Composite,5/15/2018,7361.299805,7363.52002,7320.970215,7351.629883,7351.629883,2120380000
NASDAQ Composite,5/16/2018,7356.220215,7413.319824,7356.160156,7398.299805,7398.299805,2103060000
NASDAQ Composite,5/17/2018,7379.580078,7425.390137,7350.459961,7382.470215,7382.470215,1958970000
NASDAQ Composite,5/18/2018,7364.339844,7381.160156,7343.970215,7354.339844,7354.339844,1982190000
NASDAQ Composite,5/21/2018,7406.339844,7431.830078,7368.209961,7394.040039,7394.040039,1997220000
NASDAQ Composite,5/22/2018,7420.850098,7432.529785,7370.330078,7378.459961,7378.459961,1927420000
NASDAQ Composite,5/23/2018,7335.029785,7426.779785,7334.620117,7425.959961,7425.959961,1997090000
